filename,age,gender,dominant_gender,error
id85_2191.jpg,27.0,"{'Woman': 6.5195441246032715, 'Man': 93.48045587539673}",Man,
id24_576.jpg,25.0,"{'Woman': 2.113770879805088, 'Man': 97.88622856140137}",Man,
id2_8.jpg,32.0,"{'Woman': 8.848157525062561, 'Man': 91.15185141563416}",Man,
id42_1185.jpg,29.0,"{'Woman': 2.639015018939972, 'Man': 97.36098647117615}",Man,
id41_1472.jpg,28.0,"{'Woman': 97.79702425003052, 'Man': 2.2029725834727287}",Woman,
id54_1478.jpg,24.0,"{'Woman': 0.767242768779397, 'Man': 99.23275113105774}",Man,
id124_3313.jpg,36.0,"{'Woman': 19.54043060541153, 'Man': 80.45957088470459}",Man,
id72_1910.jpg,23.0,"{'Woman': 17.65746772289276, 'Man': 82.342529296875}",Man,
id118_3027.jpg,34.0,"{'Woman': 17.125770449638367, 'Man': 82.8742265701294}",Man,
id18_693.jpg,,,,'tuple' object has no attribute 'shape'
id63_1730.jpg,28.0,"{'Woman': 4.6802520751953125, 'Man': 95.31974792480469}",Man,
id116_3156.jpg,35.0,"{'Woman': 13.59403282403946, 'Man': 86.40597462654114}",Man,
id68_1836.jpg,34.0,"{'Woman': 5.993949994444847, 'Man': 94.00604963302612}",Man,
id24_381.jpg,26.0,"{'Woman': 5.201327428221703, 'Man': 94.79867815971375}",Man,
id115_2873.jpg,33.0,"{'Woman': 15.420015156269073, 'Man': 84.57998037338257}",Man,
id96_2494.jpg,34.0,"{'Woman': 52.16215252876282, 'Man': 47.837844491004944}",Woman,
id41_1126.jpg,35.0,"{'Woman': 18.140415847301483, 'Man': 81.8595826625824}",Man,
id93_2482.jpg,31.0,"{'Woman': 22.10790067911148, 'Man': 77.89209485054016}",Man,
id47_1162.jpg,28.0,"{'Woman': 4.288121685385704, 'Man': 95.71187496185303}",Man,
id44_1048.jpg,24.0,"{'Woman': 0.616462342441082, 'Man': 99.383544921875}",Man,
id20_474.jpg,34.0,"{'Woman': 36.498403549194336, 'Man': 63.501596450805664}",Man,
id5_73.jpg,39.0,"{'Woman': 3.3181536942720413, 'Man': 96.68184518814087}",Man,
id108_2821.jpg,29.0,"{'Woman': 3.4526582807302475, 'Man': 96.54733538627625}",Man,
id5_131.jpg,29.0,"{'Woman': 11.124945431947708, 'Man': 88.87505531311035}",Man,
id46_1298.jpg,31.0,"{'Woman': 88.82375955581665, 'Man': 11.176245659589767}",Woman,
id24_404.jpg,27.0,"{'Woman': 7.106207311153412, 'Man': 92.89379715919495}",Man,
id18_579.jpg,34.0,"{'Woman': 21.208859980106354, 'Man': 78.79113554954529}",Man,
id27_445.jpg,28.0,"{'Woman': 2.9803121462464333, 'Man': 97.01968431472778}",Man,
id79_2042.jpg,29.0,"{'Woman': 15.148499608039856, 'Man': 84.85150337219238}",Man,
id5_148.jpg,31.0,"{'Woman': 9.09024104475975, 'Man': 90.90976119041443}",Man,
id77_2067.jpg,28.0,"{'Woman': 2.9208172112703323, 'Man': 97.07918167114258}",Man,
id60_1627.jpg,31.0,"{'Woman': 16.326940059661865, 'Man': 83.67305397987366}",Man,
id47_1137.jpg,31.0,"{'Woman': 11.156128346920013, 'Man': 88.84387016296387}",Man,
id10_148.jpg,25.0,"{'Woman': 3.8615357130765915, 'Man': 96.1384654045105}",Man,
id115_2886.jpg,28.0,"{'Woman': 15.767747163772583, 'Man': 84.23224687576294}",Man,
id85_2179.jpg,27.0,"{'Woman': 6.738713383674622, 'Man': 93.26128363609314}",Man,
